Station:;Datum;Behandling;Ruta;Art;Species;Fältkommentar;Slåtter
Brunflo;20170718;Ytskrapning;1;Agrostis sp.;Agrostis sp.;;
Brunflo;20170718;Ytskrapning;1;Bockrot;Pimpinella saxifraga;;
Brunflo;20170718;Ytskrapning;1;Fjällvedel;Astragalus alpinus;;
Brunflo;20170718;Ytskrapning;1;Flockfibbla;Hieracium umbellatum;;
Brunflo;20170718;Ytskrapning;1;Getväppling;Anthyllis vulneraria;;
Brunflo;20170718;Ytskrapning;1;Glasbjörk;Betula pubescens;;
Brunflo;20170718;Ytskrapning;1;Grustrav;Arabidopsis suecica;;
Brunflo;20170718;Ytskrapning;1;Grusviva;Androsace septentrionalis;;
Brunflo;20170718;Ytskrapning;1;Gråbo;Artemisia vulgaris;;
Brunflo;20170718;Ytskrapning;1;Gråfibbla;Pilosella officinarum;;
Brunflo;20170718;Ytskrapning;1;Gulsporre;Linaria vulgaris;;
Brunflo;20170718;Ytskrapning;1;Hundäxing;Dactylis glomerata;;
Brunflo;20170718;Ytskrapning;1;Klofibbla;Crepis tectorum;;
Brunflo;20170718;Ytskrapning;1;Kråkvicker;Vicia cracca;;
Brunflo;20170718;Ytskrapning;1;Käringtand;Lotus corniculatus;;
Brunflo;20170718;Ytskrapning;1;Mjölkört;Chamaenerion angustifolium;;
Brunflo;20170718;Ytskrapning;1;Ranunculus sp.;Ranunculus sp.;;
Brunflo;20170718;Ytskrapning;1;Renfana;Tanacetum vulgare;;
Brunflo;20170718;Ytskrapning;1;Rödklöver;Trifolium pratense;;
Brunflo;20170718;Ytskrapning;1;Rödsvingel;Festuca rubra;;
Brunflo;20170718;Ytskrapning;1;Röllika;Achillea millefolium;;
Brunflo;20170718;Ytskrapning;1;Småsporre;Chaenorhinum minus;;
Brunflo;20170718;Ytskrapning;1;Storven;Agrostis gigantea;;
Brunflo;20170718;Ytskrapning;1;Trifolium sp.;Trifolium sp.;;
Brunflo;20170718;Ytskrapning;2;Agrostis sp.;Agrostis sp.;;
Brunflo;20170718;Ytskrapning;2;Bockrot;Pimpinella saxifraga;;
Brunflo;20170718;Ytskrapning;2;Botrychium sp.;Botrychium sp.;;
Brunflo;20170718;Ytskrapning;2;Fjällvedel;Astragalus alpinus;;
Brunflo;20170718;Ytskrapning;2;Flockfibbla;Hieracium umbellatum;;
Brunflo;20170718;Ytskrapning;2;Getväppling;Anthyllis vulneraria;;
Brunflo;20170718;Ytskrapning;2;Groblad;Plantago major;;
Brunflo;20170718;Ytskrapning;2;Grustrav;Arabidopsis suecica;;
Brunflo;20170718;Ytskrapning;2;Grusviva;Androsace septentrionalis;;
Brunflo;20170718;Ytskrapning;2;Gråbo;Artemisia vulgaris;;
Brunflo;20170718;Ytskrapning;2;Gulsporre;Linaria vulgaris;;
Brunflo;20170718;Ytskrapning;2;Hundäxing;Dactylis glomerata;;
Brunflo;20170718;Ytskrapning;2;Höstfibbla;Scorzoneroides autumnalis;;
Brunflo;20170718;Ytskrapning;2;Klofibbla;Crepis tectorum;;
Brunflo;20170718;Ytskrapning;2;Kråkvicker;Vicia cracca;;
Brunflo;20170718;Ytskrapning;2;Käringtand;Lotus corniculatus;;
Brunflo;20170718;Ytskrapning;2;Maskros;Taraxacum;;
Brunflo;20170718;Ytskrapning;2;Mjölkört;Chamaenerion angustifolium;;
Brunflo;20170718;Ytskrapning;2;Renfana;Tanacetum vulgare;;
Brunflo;20170718;Ytskrapning;2;Rödsvingel;Festuca rubra;;
Brunflo;20170718;Ytskrapning;2;Röllika;Achillea millefolium;;
Brunflo;20170718;Ytskrapning;2;Småsporre;Chaenorhinum minus;;
Brunflo;20170718;Ytskrapning;2;Stormåra;Gallium mollugo;;
Brunflo;20170718;Ytskrapning;2;Storven;Agrostis gigantea;;
Brunflo;20170718;Ytskrapning;2;Vitklöver;Trifolium repens;;
Brunflo;20170718;Ytskrapning;3;Agrostis sp.;Agrostis sp.;;
Brunflo;20170718;Ytskrapning;3;Bockrot;Pimpinella saxifraga;;
Brunflo;20170718;Ytskrapning;3;Fjällvedel;Astragalus alpinus;;
Brunflo;20170718;Ytskrapning;3;Groblad;Plantago major;;
Brunflo;20170718;Ytskrapning;3;Grustrav;Arabidopsis suecica;;
Brunflo;20170718;Ytskrapning;3;Grusviva;Androsace septentrionalis;;
Brunflo;20170718;Ytskrapning;3;Gråbo;Artemisia vulgaris;;
Brunflo;20170718;Ytskrapning;3;Gulsporre;Linaria vulgaris;;
Brunflo;20170718;Ytskrapning;3;Klofibbla;Crepis tectorum;;
Brunflo;20170718;Ytskrapning;3;Kummin;Carum carvi;;
Brunflo;20170718;Ytskrapning;3;Maskros;Taraxacum;;
Brunflo;20170718;Ytskrapning;3;Mjölkört;Chamaenerion angustifolium;;
Brunflo;20170718;Ytskrapning;3;Ranunculus sp.;Ranunculus sp.;;
Brunflo;20170718;Ytskrapning;3;Rödklöver;Trifolium pratense;;
Brunflo;20170718;Ytskrapning;3;Rödsvingel;Festuca rubra;;
Brunflo;20170718;Ytskrapning;3;Röllika;Achillea millefolium;;
Brunflo;20170718;Ytskrapning;3;Småsporre;Chaenorhinum minus;;
Brunflo;20170718;Ytskrapning;3;Stormåra;Gallium mollugo;;
Brunflo;20170718;Ytskrapning;3;Storven;Agrostis gigantea;;
Brunflo;20170718;Ytskrapning;3;Vitklöver;Trifolium repens;;
Brunflo;20170718;Ytskrapning;4;Agrostis sp.;Agrostis sp.;;
Brunflo;20170718;Ytskrapning;4;Backskärvfrö;Noccaea caerulescens;;
Brunflo;20170718;Ytskrapning;4;Bockrot;Pimpinella saxifraga;;
Brunflo;20170718;Ytskrapning;4;Euphrasia sp.;Euphrasia sp.;;
Brunflo;20170718;Ytskrapning;4;Fjällvedel;Astragalus alpinus;;
Brunflo;20170718;Ytskrapning;4;Flockfibbla;Hieracium umbellatum;;
Brunflo;20170718;Ytskrapning;4;Getväppling;Anthyllis vulneraria;;
Brunflo;20170718;Ytskrapning;4;Groblad;Plantago major;;
Brunflo;20170718;Ytskrapning;4;Grustrav;Arabidopsis suecica;;
Brunflo;20170718;Ytskrapning;4;Grusviva;Androsace septentrionalis;;
Brunflo;20170718;Ytskrapning;4;Gråbo;Artemisia vulgaris;;
Brunflo;20170718;Ytskrapning;4;Gulsporre;Linaria vulgaris;;
Brunflo;20170718;Ytskrapning;4;Klofibbla;Crepis tectorum;;
Brunflo;20170718;Ytskrapning;4;Kummin;Carum carvi;;
Brunflo;20170718;Ytskrapning;4;Lundelm;Elymus caninus;;
Brunflo;20170718;Ytskrapning;4;Maskros;Taraxacum;;
Brunflo;20170718;Ytskrapning;4;Mjölkört;Chamaenerion angustifolium;;
Brunflo;20170718;Ytskrapning;4;Rödklöver;Trifolium pratense;;
Brunflo;20170718;Ytskrapning;4;Rödsvingel;Festuca rubra;;
Brunflo;20170718;Ytskrapning;4;Röllika;Achillea millefolium;;
Brunflo;20170718;Ytskrapning;4;Stormåra;Gallium mollugo;;
Brunflo;20170718;Ytskrapning;4;Timotej;Phleum pratense;;
Brunflo;20170718;Ytskrapning;4;Vitklöver;Trifolium repens;;
Brunflo;20170718;Ytskrapning;5;Agrostis sp.;Agrostis sp.;;
Brunflo;20170718;Ytskrapning;5;Backskärvfrö;Noccaea caerulescens;;
Brunflo;20170718;Ytskrapning;5;Bockrot;Pimpinella saxifraga;;
Brunflo;20170718;Ytskrapning;5;Fjällvedel;Astragalus alpinus;;
Brunflo;20170718;Ytskrapning;5;Flockfibbla;Hieracium umbellatum;;
Brunflo;20170718;Ytskrapning;5;Getväppling;Anthyllis vulneraria;;
Brunflo;20170718;Ytskrapning;5;Glasbjörk;Betula pubescens;;
Brunflo;20170718;Ytskrapning;5;Groblad;Plantago major;;
Brunflo;20170718;Ytskrapning;5;Grustrav;Arabidopsis suecica;;
Brunflo;20170718;Ytskrapning;5;Grusviva;Androsace septentrionalis;;
Brunflo;20170718;Ytskrapning;5;Gråbo;Artemisia vulgaris;;
Brunflo;20170718;Ytskrapning;5;Gråfibbla;Pilosella officinarum;;
Brunflo;20170718;Ytskrapning;5;Klofibbla;Crepis tectorum;;
Brunflo;20170718;Ytskrapning;5;Kråkvicker;Vicia cracca;;
Brunflo;20170718;Ytskrapning;5;Kummin;Carum carvi;;
Brunflo;20170718;Ytskrapning;5;Käringtand;Lotus corniculatus;;
Brunflo;20170718;Ytskrapning;5;Liten blåklocka;Campanula rotundifolia;;
Brunflo;20170718;Ytskrapning;5;Lundelm;Elymus caninus;Endast vegetativa skott men mkt likt;
Brunflo;20170718;Ytskrapning;5;Mjölkört;Chamaenerion angustifolium;;
Brunflo;20170718;Ytskrapning;5;Renfana;Tanacetum vulgare;;
Brunflo;20170718;Ytskrapning;5;Rödsvingel;Festuca rubra;;
Brunflo;20170718;Ytskrapning;5;Röllika;Achillea millefolium;;
Brunflo;20170718;Ytskrapning;5;Småsporre;Chaenorhinum minus;;
Brunflo;20170718;Ytskrapning;5;Stormåra;Gallium mollugo;;
Brunflo;20170718;Ytskrapning;5;Storven;Agrostis gigantea;;
Brunflo;20170718;Ytskrapning;5;Vitklöver;Trifolium repens;;
Brunflo;20170718;Ytskrapning;6;Agrostis sp.;Agrostis sp.;;
Brunflo;20170718;Ytskrapning;6;Botrychium sp.;Botrychium sp.;;
Brunflo;20170718;Ytskrapning;6;Fjällvedel;Astragalus alpinus;;
Brunflo;20170718;Ytskrapning;6;Getväppling;Anthyllis vulneraria;;
Brunflo;20170718;Ytskrapning;6;Groblad;Plantago major;;
Brunflo;20170718;Ytskrapning;6;Grustrav;Arabidopsis suecica;;
Brunflo;20170718;Ytskrapning;6;Grusviva;Androsace septentrionalis;;
Brunflo;20170718;Ytskrapning;6;Gråbo;Artemisia vulgaris;;
Brunflo;20170718;Ytskrapning;6;Gråfibbla;Pilosella officinarum;;
Brunflo;20170718;Ytskrapning;6;Gulsporre;Linaria vulgaris;;
Brunflo;20170718;Ytskrapning;6;Klofibbla;Crepis tectorum;;
