Station;Datum;Behandling;Ruta;Sandförekomst %;Kommentar (kornstorlek mm);Slåtter eller inte;
Avesta;20170704;Ytskrapning;1;95;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;2;80;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;3;96;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;4;95;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;5;95;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;6;75;Lös mellansand blandat med stora stenar och grus;Ingen;
Jularbo;20170605;Ytskrapning;1;95;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;2;95;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;3;95;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;4;20;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;5;90;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;6;90;Lös mellansand blandat med stora stenar och grus;Inget än;
Byvalla;20170607;Ytskrapning;1;99;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;2;80;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;3;70;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;4;75;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;5;65;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;6;75;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;1;60;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;2;55;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;3;65;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;4;30;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;5;75;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;6;70;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Gustafs;20170710;Ytskrapning;1;50;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;2;75;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;3;90;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;4;50;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;5;30;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;6;0;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;1;20;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;2;20;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;3;85;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;4;75;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;5;0;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;6;5;Lös sand;Ej slåtter;
Brunflo;20170718;Rotryckning;1;1;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;
Brunflo;20170718;Rotryckning;2;3;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;
Brunflo;20170718;Rotryckning;3;0;Jord och grovkornigt grus. Grässvål. Förekomst av getväppling.;;
Brunflo;20170718;Rotryckning;4;0;Ingen sand ytligt. Getväppling, liten blåklocka.;;
Brunflo;20170718;Rotryckning;5;2;Mest inblandat i jord och grus.;;
Brunflo;20170718;Rotryckning;6;1;Inblandat i jord. Grusigt/stenigt.;;
Brunflo;20170718;Ytskrapning;1;70;Sten- och grusblandad sand med jordinslag. Rätt mycket stora stenar.;;
Brunflo;20170718;Ytskrapning;2;50;Mer sten än ruta 1;;
Brunflo;20170718;Ytskrapning;3;60;Grus och sten med sand mellan. Även sandblandad jord.;;
Brunflo;20170718;Ytskrapning;4;40;Mycket sten.;;
Brunflo;20170718;Ytskrapning;5;40;Mycket sten och grus.;;
Brunflo;20170718;Ytskrapning;6;50;Grusigt och stenigt.;;
