Year;Station;Datum;Behandling;Ruta;Total täckningsgrad träd och buskar %;Förekommande arter;Stam, lev. Stubbe, död stubbe;Kat 1 (Årsskott);Kat 2 (<3cm);Kat 3 (3-5 cm);Kat 4 (5-10 cm);Sandförekomst %;Kommentar (kornstorlek mm);;;
2017;Brunflo;20170718;Rotryckning;1;1;björk sp.;S;4;;;;1;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;;
2017;Brunflo;20170718;Rotryckning;2;1;björk sp.;S;6;;;;3;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;;
2017;Brunflo;20170718;Rotryckning;3;1;björk sp.;S;3;;;;-;Jord och grovkornigt grus. Grässvål. Förekomst av getväppling.;;;
2017;Brunflo;20170718;Rotryckning;4;1;björk sp.;S;3;;;;-;Ingen sand ytligt. Getväppling, liten blåklocka.;;;
2017;Brunflo;20170718;Rotryckning;4;1;rönn;L;;9;;;-;Skott från samma stubbe.;;;
2017;Brunflo;20170718;Rotryckning;4;2;glasbjörk;L;;24;;;-;Möjligen från samma stubbe eller tre närstående stubbar.;;;
2017;Brunflo;20170718;Rotryckning;5;0;-;;;;;;2;Mest inblandat i jord och grus.;;;
2017;Brunflo;20170718;Rotryckning;6;0;-;;;;;;?1;Inblandat i jord. Grusigt/stenigt.;;;
2017;Brunflo;20170718;Ytskrapning;1;1;glasbjörk;L;;7;;;70;Sten- och grusblandad sand med jordinslag. Rätt mycket stora stenar.;;;
2017;Brunflo;20170718;Ytskrapning;1;1;björk sp.;S;5;;;;70;Sten- och grusblandad sand med jordinslag. Rätt mycket stora stenar.;;;
2017;Brunflo;20170718;Ytskrapning;2;0;-;;;;;;50;Mer sten än ruta 1;;;
2017;Brunflo;20170718;Ytskrapning;3;0;-;;;;;;60;Grus och sten med sand mellan. Även sandblandad jord.;;;
2017;Brunflo;20170718;Ytskrapning;4;0;-;;;;;;40;Mycket sten.;;;
2017;Brunflo;20170718;Ytskrapning;5;1;björk sp.;S;1;;;;40;Mycket sten och grus.;;;
2017;Brunflo;20170718;Ytskrapning;6;0;-;;;;;;50;Grusigt och stenigt.;;;
2017;Ope;20170719;Ytskrapning;1;0;-;;;;;;20;Smågrusigt, visst sandinslag under. Förna inblandat.;;;
2017;Ope;20170719;Ytskrapning;2;0;-;;;;;;30;Smågrusigt, visst sandinslag under. Förna inblandat. Markskärningar.;;;
2017;Ope;20170719;Ytskrapning;3;0;-;;;;;;40;Mer tydligt sandinslag i jorden men mestadels under gruslager.;;;
2017;Ope;20170719;Ytskrapning;4;0;-;;;;;;30;Under gruslager. Skärningar förekommer.;;;
2017;Ope;20170719;Ytskrapning;5;0;-;;;;;;30;Småkuperat av markskärningar. Grus och större sten förekommer.;;;
2017;Ope;20170719;Ytskrapning;6;0;-;;;;;;30;Småkuperat av markskärningar. Grus och större sten förekommer.;;;
2017;Ope;20170719;Rotryckning;1;0;-;;;;;;-;Ytligt gruslager med grässvål.;;;
2017;Ope;20170719;Rotryckning;2;0;-;;;;;;-;Tjock grässvål. Grus kan kännas genom denna på vissa håll.;;;
2017;Ope;20170719;Rotryckning;3;0;-;;;;;;-;Fläckvis grässvål och mossmatta på grus.;;;
2017;Ope;20170719;Rotryckning;4;0;-;;;;;;1;Sand finns inblandat i grusig mark.;;;
2017;Ope;20170719;Rotryckning;5;0;-;;;;;;?1;Tät grässvål, sparsam sandinblandning i jorden. Även grusigt.;;;
2017;Ope;20170719;Rotryckning;6;0;-;;;;;;-;Grusdominerad mark med grässvål och mossor.;;;
2017;Trångsviken;20170720;Ytskrapning;1;0;-;;;;;;?5;Mycket små gruskorn. Porös jord däremellan.;;;
2017;Trångsviken;20170720;Ytskrapning;2;0;-;;;;;;?5;Grus och sten. Ett mindre hak. Porös jord och grus.;;;
2017;Trångsviken;20170720;Ytskrapning;3;0;-;;;;;;?5;Grus, delvis packat. Jord och ett mindre hak.;;;
2017;Trångsviken;20170720;Ytskrapning;4;0;-;;;;;;?5;Grus, delvis packat. Lite kuperat med tuvor.;;;
2017;Trångsviken;20170720;Ytskrapning;5;0;-;;;;;;?5;Grus, delvis packat.;;;
2017;Trångsviken;20170720;Ytskrapning;6;0;-;;;;;;?5;Grus, delvis packat.;;;
2017;Trångsviken;20170720;Rotryckning;1;1;glasbjörk;S;;7;;;?1;Sparsam sandinblandning i grus och jord. Mestadels täckt av grässvål och mossor.;;;
2017;Trångsviken;20170720;Rotryckning;1;1;Salix sp.;S;1;17;;;?1;se ovan;;;
2017;Trångsviken;20170720;Rotryckning;2;1;glasbjörk;S;;1;;;-;Utvecklad grässvål med mossor. Ingen blottad mineraljord.;;;
2017;Trångsviken;20170720;Rotryckning;3;1;Betula sp.;S;2;;;;2;Öppen jord med sandinblandning. Rätt hårt packat.;;;
2017;Trångsviken;20170720;Rotryckning;4;1;Betula sp.;S;7;;;;3;Hårt packad sandblandad jord. Mosstäcke. Vissa möjligheter för grävande insekter i körspår.;;;
