Station;Datum;Behandling;Ruta;Arter ;Kommentar;Ej i trafikverkets artlista (se kommentar);Species
Brunflo;20220226;Ytskrapning;1;fjällvedel;;x;Astragalus alpinus
Brunflo;20220226;Ytskrapning;1;getväppling;;;Anthyllis vulneraria
Brunflo;20220226;Ytskrapning;1;gulsporre;;;Linaria vulgaris
Brunflo;20220226;Ytskrapning;1;klofibbla;;;Crepis tectorum
Brunflo;20220226;Ytskrapning;1;kråkvicker;;;Vicia cracca
Brunflo;20220226;Ytskrapning;1;käringtand;;;Lotus corniculatus
Brunflo;20220226;Ytskrapning;1;liten blåklocka;;;Campanula rotundifolia
Brunflo;20220226;Ytskrapning;1;ogräsmaskros;;;Taraxacum
Brunflo;20220226;Ytskrapning;1;rödklöver;;;Trifolium pratense
Brunflo;20220226;Ytskrapning;1;stormåra;;;Gallium mollugo
Brunflo;20220226;Ytskrapning;1;vitklöver;;;Trifolium repens
Brunflo;20220226;Ytskrapning;1;vitmåra;;;Galium boreale
Brunflo;20220226;Ytskrapning;2;bockrot;;;Pimpinella saxifraga
Brunflo;20220226;Ytskrapning;2;fjällvedel;;x;Astragalus alpinus
Brunflo;20220226;Ytskrapning;2;flockfibbla;;;Hieracium umbellatum
Brunflo;20220226;Ytskrapning;2;getväppling;;;Anthyllis vulneraria
Brunflo;20220226;Ytskrapning;2;gråbo;;x;Artemisia vulgaris
Brunflo;20220226;Ytskrapning;2;gulsporre;;;Linaria vulgaris
Brunflo;20220226;Ytskrapning;2;kråkvicker;;;Vicia cracca
Brunflo;20220226;Ytskrapning;2;käringtand;;;Lotus corniculatus
Brunflo;20220226;Ytskrapning;2;liten blåklocka;;;Campanula rotundifolia
Brunflo;20220226;Ytskrapning;2;ogräsmaskros;;;Taraxacum
Brunflo;20220226;Ytskrapning;2;rödklöver;;;Trifolium pratense
Brunflo;20220226;Ytskrapning;2;vanlig smörblomma;;;Ranunculus acris subsp. acris
Brunflo;20220226;Ytskrapning;2;vitklöver;;;Trifolium repens
Brunflo;20220226;Ytskrapning;3;bockrot;;;Pimpinella saxifraga
Brunflo;20220226;Ytskrapning;3;fjällvedel;;x;Astragalus alpinus
Brunflo;20220226;Ytskrapning;3;getväppling;;;Anthyllis vulneraria
Brunflo;20220226;Ytskrapning;3;gulsporre;;;Linaria vulgaris
Brunflo;20220226;Ytskrapning;3;klofibbla;;;Crepis tectorum
Brunflo;20220226;Ytskrapning;3;kråkvicker;;;Vicia cracca
Brunflo;20220226;Ytskrapning;3;liten blåklocka;;;Campanula rotundifolia
Brunflo;20220226;Ytskrapning;3;mjölkört;;;Chamaenerion angustifolium
Brunflo;20220226;Ytskrapning;3;renfana;;;Tanacetum vulgare
Brunflo;20220226;Ytskrapning;3;rödklöver;;;Trifolium pratense
Brunflo;20220226;Ytskrapning;3;vitklöver;;;Trifolium repens
Brunflo;20220226;Ytskrapning;3;vitmåra;;;Galium boreale
Brunflo;20220226;Ytskrapning;4;bockrot;;;Pimpinella saxifraga
Brunflo;20220226;Ytskrapning;4;fjällvedel;;x;Astragalus alpinus
Brunflo;20220226;Ytskrapning;4;getväppling;;;Anthyllis vulneraria
Brunflo;20220226;Ytskrapning;4;gulsporre;;;Linaria vulgaris
Brunflo;20220226;Ytskrapning;4;kråkvicker;;;Vicia cracca
Brunflo;20220226;Ytskrapning;4;kummin;;;Carum carvi
Brunflo;20220226;Ytskrapning;4;liten blåklocka;;;Campanula rotundifolia
Brunflo;20220226;Ytskrapning;4;rödklöver;;;Trifolium pratense
Brunflo;20220226;Ytskrapning;4;stormåra;;;Gallium mollugo
Brunflo;20220226;Ytskrapning;4;vitklöver;;;Trifolium repens
Brunflo;20220226;Ytskrapning;4;vitmåra;;;Galium boreale
Brunflo;20220226;Ytskrapning;5;bockrot;;;Pimpinella saxifraga
