Station;Datum;Behandling;Ruta;Sandförekomst %;Kommentar (kornstorlek mm);;;;;
Dagarn;20220608;rotryckning/slåtter;1;0;;;;;;
Dagarn;20220608;rotryckning/slåtter;2;0;;;;;;
Dagarn;20220608;rotryckning/slåtter;3;1;Grovssandinblandat i jorden, lös;;;;;
Dagarn;20220608;rotryckning/slåtter;4;2;Grovsand inblandat i jorden och fläckvis enbart sand, lös;;;;;
Dagarn;20220608;rotryckning/slåtter;5;1;Mellan- Finland inblandad i organisk jord;;;;;
Dagarn;20220608;rotryckning/slåtter;6;60;Grov-fin delvis inblandad i jord;;;;;
Dala-Järna;20220806;rotryckning/slåtter;1;1;Grovt mellan grus. Löst.;;;;;
Dala-Järna;20220806;rotryckning/slåtter;2;1;Fin till grov.löst packad.;;;;;
Dala-Järna;20220806;rotryckning/slåtter;3;10;Fin till grov.hård med lösa partier. Grus ochsten.;;;;;
Dala-Järna;20220806;rotryckning/slåtter;4;1;Fin till grov.löst packad. Omgivet av mossa och dött org. material.;;;;;
Dala-Järna;20220806;rotryckning/slåtter;5;1;Fin till grov.löst packad. Omgivet av mossa och dött org. material.;;;;;
Dala-Järna;20220806;rotryckning/slåtter;6;1;Fin till grov.löst packad. Omgivet av mossa och dött org. material.;;;;;
Grängesberg;20220731;rotryckning;1;40;Grov till fin, blandat. Även grus och sten. Löst med hårda partier.;;;;;
Grängesberg;20220731;rotryckning;2;15;Mellan till fin,blandat. Även makadam. Lös medhårda partier.;;;;;
Grängesberg;20220731;rotryckning;3;10;Mellan till fin,blandat. Även makadam och grus. Lös medhårda partier.;;;;;
Grängesberg;20220731;rotryckning/slåtter;4;30;Hårt packad fin sand med lösa partier (få). Även grus och makadam. ;;;;;
Grängesberg;20220731;rotryckning/slåtter;5;15;Hårt packad fin sand. Även grus och makadam. ;;;;;
Grängesberg;20220731;rotryckning/slåtter;6;15;Hårt packad fin sand. Även grus och makadam. ;;;;;
Kopparberg;20220731;rotryckning;-;;Förstörd station;;;;;
Kopparberg;20220731;ytskrapning;-;;Förstörd station;;;;;
Krampen;20220608;rotryckning/slåtter;1;50;Grov-fin delvis inblandad i jord, lös med fasta partier;;;;;
Krampen;20220718;rotryckning/slåtter;2;70;Grov-fin delvis inblandad i jord, lös med fasta partier;;;;;
Krampen;20220718;rotryckning/slåtter;3;70;Grov-fin delvis inblandad i jord, lös med fasta partier;;;;;
Krampen;20220718;rotryckning/slåtter;4;50;Grov-fin delvis inblandad i jord, lös med fasta partier;;;;;
Krampen;20220718;rotryckning/slåtter;5;80;Majoritet av makadam. Övrigt se 5:an;;;;;
Krampen;20220718;rotryckning/slåtter;6;70;Majoritet av makadam. Övrigt se 5:an;;;;;
Krampen;20220608;ytskrapning/slåtter;1;70;Grov-fin delvis inblandad i jord, lös med fasta partier;;;;;
Krampen;20220608;ytskrapning/slåtter;2;1;Mellan- Finsand inblandad i organisk jord;;;;;
Krampen;20220608;ytskrapning/slåtter;3;75;Grov-fin delvis inblandad i jord, lös med fasta partier;;;;;
Krampen;20220608;ytskrapning/slåtter;4;70;sand inblandning av grus och sten. Löst med fasta partier;;;;;
Krampen;20220608;ytskrapning/slåtter;5;50;sand inblandning av grus och sten. Löst med fasta partier;;;;;
Krampen;20220718;ytskrapning/slåtter;6;70;sand inblandning av grus och sten. Löst med fasta partier;;;;;
Krampen;20220718;ytskrapning/slåtter;7;90;sand inblandning av grus och sten. Löst med fasta partier;;;;;extra yta pga miss
Mockfjärd;20220803;rotryckning/slåtter;1;10;Hårt packad fin-grov sand med löst ovanpå.(inte grävmaterial) ;;;;;
Mockfjärd;20220803;rotryckning/slåtter;2;0;Lerjord med grus och steninslag;;;;;
Mockfjärd;20220803;rotryckning/slåtter;3;0;Sandblandad jord under lager av mossa och gammalt gräs;;;;;
Mockfjärd;20220803;rotryckning/slåtter;4;0;Tjock grässvål,bitvis mossa.;;;;;
Mockfjärd;20220803;rotryckning/slåtter;5;0;Sandblandad jord under lager av mossa och gammalt gräs;;;;;
Mockfjärd;20220803;rotryckning/slåtter;6;0;Sandblandad jord under lager av mossa och gammalt gräs;;;;;
Repbäcken;20220806;rotryckning/slåtter;1;1;In emellan grus. Medelgrov och medelpackad ;;;;;
Repbäcken;20220806;rotryckning/slåtter;2;1;In emellan grus. Medelgrov och medelpackad under org. Material. ;;;;;
Repbäcken;20220806;rotryckning/slåtter;3;0;Tjock grässvål,bitvis mossa.;;;;;
Repbäcken;20220806;rotryckning/slåtter;4;1;In emellan grus. Medelgrov och medelpackad. ;;;;;
Repbäcken;20220806;rotryckning/slåtter;5;40;Grov till fin sand, medelpckad.;;;;;
Repbäcken;20220806;rotryckning/slåtter;6;0;Tjock grässvål,bitvis mossa.;;;;;
Repbäcken;20220805;ytskrapning/slåtter;1;80;Grov till fin sand, hårt med lösa partier.;;;;;
Repbäcken;20220805;ytskrapning/slåtter;2;80;Grov till fin sand, hårt med lösa partier (pga myror);;;;;
Repbäcken;20220805;ytskrapning/slåtter;3;90;Grov till fin sand, hårt med lösa partier.;;;;;
Repbäcken;20220805;ytskrapning/slåtter;4;95;Grov till fin sand, hårt med lösa partier.;;;;;
Repbäcken;20220805;ytskrapning/slåtter;5;0;Grus, lav och mossa;;;;;
Repbäcken;20220805;ytskrapning/slåtter;6;1;Medel till grovt och löst mellan grus.;;;;;
Ställdalen;20220731;rotryckning/slåtter;1;0;40% inblandat med humus. Täkt av <1cm lager mossa;;;;;
Ställdalen;20220731;rotryckning/slåtter;2;30;Makadam,ingen sand egentligen. Mossa på tunt lager av humus.;;;;;
Ställdalen;20220731;rotryckning/slåtter;3;20;Grov till fin, blandat. Även grus och sten. Löst med hårda partier.;;;;;
Ställdalen;20220731;rotryckning/slåtter;4;0;40% inblandat med humus. Täkt av <1cm lager mossa och gräs/örter;;;;;
Ställdalen;20220731;rotryckning/slåtter;5;0;Makadam under lager av gammalt gräs;;;;;
Ställdalen;20220731;rotryckning/slåtter;6;50;Grov till fin, blandat. Även grus och sten. Löst med hårda partier.;;;;;
Vansbro;20220807;ytskrapning/slåtter;1;0;Mossa, sten och filtlav;;;;;
Vansbro;20220807;ytskrapning/slåtter;2;1;Hårt packad fin sand med grövre sand och grus ovan, löst. ;;;;;
Vansbro;20220807;ytskrapning/slåtter;3;10;Hårt packad fin sand med grövre sand och grus ovan, löst. ;;;;;
Vansbro;20220807;ytskrapning/slåtter;4;20;Hårt packad fin sand med grövre sand och grus ovan, löst. ;;;;;
Vansbro;20220807;ytskrapning/slåtter;5;15;Hårt packad fin sand med grövre sand och grus ovan, löst. ;;;;;
Vansbro;20220807;ytskrapning/slåtter;6;50;Hårt packad fin sand med grövre sand och grus ovan, löst. ;;;;;
Byvalla;20220831;rotryckning;1;0;40 % inblandad i jord under mossa, gräs och död ved.;;;;;
Byvalla;20220831;rotryckning;2;50;Öppen mineraljord med 20 % sand. Fläckvis med grus. Myrstack utgör 10 %.;;;;;
Byvalla;20220831;rotryckning;3;0;Mineraljord under lager av mossa.;;;;;
Byvalla;20220831;rotryckning;4;1;Grov lös sand, grus och enstaka större stenar. I övrigt mossa, lav och gammalt org. material;;;;;
Byvalla;20220831;rotryckning;5;0;Inget blottat men fin till grov sand med inslag av grus under mosstäcke.;;;;;
Byvalla;20220719;rotryckning;6;80;Grov till fin sand, löst till hårt packad. ;;;;;
Byvalla;20220831;rotryckning/slåtter;1;20;Grov lös sand, grus och enstaka större stenar. I övrigt mossa, lav och gammalt org. material;;;;;
Byvalla;20220831;rotryckning/slåtter;2;20;Grov- medelgrov lös sand, grus och enstaka större stenar. I övrigt mossa, lav och gammalt org. material;;;;;
Byvalla;20220831;rotryckning/slåtter;3;10;Grov- medelgrov lös sand, grus och enstaka större stenar. I övrigt mossa, lav och gammalt org. material;;;;;
Byvalla;20220831;rotryckning/slåtter;4;5;Grov lös sand, grus och enstaka större stenar. I övrigt mossa, lav och gammalt org. material;;;;;
Byvalla;20220719;rotryckning/slåtter;5;0;40 % inblandad i jord under mossa, gräs och död ved.;;;;;
Byvalla;20220719;rotryckning/slåtter;6;0;50 % inblandat i jord under mossa gräs och död ved.;;;;;
Byvalla;20220831;ytskrapning;1;20;Grov lös sand varvat med makadam och mossa;;;;;
Byvalla;20220831;ytskrapning;2;0;Inget blottat men fin till grov sand med inslag av grus under mosstäcke.;;;;;
Byvalla;20220831;ytskrapning;3;10;Fin till grov sand. Lös med hårda partier. Övrig yta täckt av lavar, mossa och org. Material.;;;;;
Byvalla;20220831;ytskrapning;4;10;Fin till grov sand. Lös med hårda partier. Löst grus ovanpå.  Övrig yta täckt av lavar, mossa och org. Material.;;;;;
Byvalla;20220719;ytskrapning;5;50;50 % inblandat i jord under mossa gräs och död ved. Blottad sand är lös med hårda partier.;;;;;
Byvalla;20220719;ytskrapning;6;50;50 % inblandat i jord under mossa gräs och död ved. Blottad sand är lös med hårda partier.;;;;;
Byvalla;20220831;ytskrapning/slåtter;1;30;Mellangrov sand, hård med lösa partier. I övrigt grus och sten med mossa.;;;;;
Byvalla;20220831;ytskrapning/slåtter;2;50;Fin till grov, lös med hårda partier, enstaka bon av stekel. I övrigt, grus, sten, mossa och lavar.;;;;;
Byvalla;20220831;ytskrapning/slåtter;3;50;Fin till grov, lös med hårda partier, flera bon av stekel. I övrigt, grus, sten, mossa och lavar.;;;;;
Byvalla;20220831;ytskrapning/slåtter;4;70;Fin till grov, lös med hårda partier, enstaka bon av stekel. I övrigt, grus, sten, mossa och lavar.;;;;;
Byvalla;20220719;ytskrapning/slåtter;5;80;Grov till fin sand, hårt med lösa partier.;;;;;
Byvalla;20220719;ytskrapning/slåtter;6;90;Grov till fin sand, hårt med lösa partier.;;;;;
