Year;År;Station;Datum;Behandling;Ruta;Total täckningsgrad träd och buskar %;Förekommande arter;Stam, lev. Stubbe, död stubbe;Dead/Alive;Kat 1 (Årsskott);Kat 2 (<3cm);Kat 3 (3-5 cm);Kat 4 (5-10 cm);Sandförekomst %;Total täckningsgrad per ruta;Kommentar (kornstorlek mm)
1;2017;Brunflo;20170718;rotryckning;1;1;Björk sp.;S;D;4;0;0;0;1;1;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.
1;2017;Brunflo;20170718;rotryckning;2;1;Björk sp.;S;D;6;0;0;0;3;1;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.
1;2017;Brunflo;20170718;rotryckning;3;1;Björk sp.;S;D;3;0;0;0;0;1;Jord och grovkornigt grus. Grässvål. Förekomst av getväppling.
1;2017;Brunflo;20170718;rotryckning;4;1;Björk sp.;S;D;3;0;0;0;0;4;Ingen sand ytligt. Getväppling, liten blåklocka.
1;2017;Brunflo;20170718;rotryckning;4;1;Rönn;L;A;0;9;0;0;0;4;Skott från samma stubbe.
1;2017;Brunflo;20170718;rotryckning;4;2;Glasbjörk;L;A;0;24;0;0;0;4;Möjligen från samma stubbe eller tre närstående stubbar.
1;2017;Brunflo;20170718;rotryckning;5;0;;;;0;0;0;0;2;0;Mest inblandat i jord och grus.
1;2017;Brunflo;20170718;rotryckning;6;0;;;;0;0;0;0;1;0;Inblandat i jord. Grusigt/stenigt.
1;2017;Brunflo;20170718;ytskrapning;1;1;Glasbjörk;L;A;0;7;0;0;70;2;Sten- och grusblandad sand med jordinslag. Rätt mycket stora stenar.
1;2017;Brunflo;20170718;ytskrapning;1;1;Björk sp.;S;D;5;0;0;0;70;2;Sten- och grusblandad sand med jordinslag. Rätt mycket stora stenar.
1;2017;Brunflo;20170718;ytskrapning;2;0;;;;0;0;0;0;50;0;Mer sten än ruta 1
1;2017;Brunflo;20170718;ytskrapning;3;0;;;;0;0;0;0;60;0;Grus och sten med sand mellan. Även sandblandad jord.
1;2017;Brunflo;20170718;ytskrapning;4;0;;;;0;0;0;0;40;0;Mycket sten.
1;2017;Brunflo;20170718;ytskrapning;5;1;Björk sp.;S;D;1;0;0;0;40;1;Mycket sten och grus.
1;2017;Brunflo;20170718;ytskrapning;6;0;;;;0;0;0;0;50;0;Grusigt och stenigt.
1;2017;Ope;20170719;ytskrapning;1;0;;;;0;0;0;0;20;0;Smågrusigt, visst sandinslag under. Förna inblandat.
1;2017;Ope;20170719;ytskrapning;2;0;;;;0;0;0;0;30;0;Smågrusigt, visst sandinslag under. Förna inblandat. Markskärningar.
