År;Year;Station;Datum;Behandling;Ruta;Art;Species;Fältkommentar;Slåtter;Ej i trafikverkets artlista (se kommentar);tree.bush
2017;1;Brunflo;20170718;Ytskrapning;1;Agrostis sp.;Agrostis sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Bockrot;Pimpinella saxifraga;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Fjällvedel;Astragalus alpinus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Flockfibbla;Hieracium umbellatum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Getväppling;Anthyllis vulneraria;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Glasbjörk;Betula pubescens;;;;1
2017;1;Brunflo;20170718;Ytskrapning;1;Grustrav;Arabidopsis suecica;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Grusviva;Androsace septentrionalis;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Gråbo;Artemisia vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Gråfibbla;Pilosella officinarum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Gulsporre;Linaria vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Hundäxing;Dactylis glomerata;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Klofibbla;Crepis tectorum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Kråkvicker;Vicia cracca;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Käringtand;Lotus corniculatus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Mjölkört;Chamaenerion angustifolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Ranunculus sp.;Ranunculus sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Renfana;Tanacetum vulgare;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Rödklöver;Trifolium pratense;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Rödsvingel;Festuca rubra;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Röllika;Achillea millefolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Småsporre;Chaenorhinum minus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Storven;Agrostis gigantea;;;;0
2017;1;Brunflo;20170718;Ytskrapning;1;Trifolium sp.;Trifolium sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Agrostis sp.;Agrostis sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Bockrot;Pimpinella saxifraga;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Botrychium sp.;Botrychium sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Fjällvedel;Astragalus alpinus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Flockfibbla;Hieracium umbellatum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Getväppling;Anthyllis vulneraria;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Groblad;Plantago major;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Grustrav;Arabidopsis suecica;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Grusviva;Androsace septentrionalis;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Gråbo;Artemisia vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Gulsporre;Linaria vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Hundäxing;Dactylis glomerata;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Höstfibbla;Scorzoneroides autumnalis;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Klofibbla;Crepis tectorum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Kråkvicker;Vicia cracca;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Käringtand;Lotus corniculatus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Maskros;Taraxacum sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Mjölkört;Chamaenerion angustifolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Renfana;Tanacetum vulgare;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Rödsvingel;Festuca rubra;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Röllika;Achillea millefolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Småsporre;Chaenorhinum minus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Stormåra;Gallium mollugo;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Storven;Agrostis gigantea;;;;0
2017;1;Brunflo;20170718;Ytskrapning;2;Vitklöver;Trifolium repens;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Agrostis sp.;Agrostis sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Bockrot;Pimpinella saxifraga;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Fjällvedel;Astragalus alpinus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Groblad;Plantago major;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Grustrav;Arabidopsis suecica;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Grusviva;Androsace septentrionalis;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Gråbo;Artemisia vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Gulsporre;Linaria vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Klofibbla;Crepis tectorum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Kummin;Carum carvi;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Maskros;Taraxacum sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Mjölkört;Chamaenerion angustifolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Ranunculus sp.;Ranunculus sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Rödklöver;Trifolium pratense;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Rödsvingel;Festuca rubra;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Röllika;Achillea millefolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Småsporre;Chaenorhinum minus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Stormåra;Gallium mollugo;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Storven;Agrostis gigantea;;;;0
2017;1;Brunflo;20170718;Ytskrapning;3;Vitklöver;Trifolium repens;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Agrostis sp.;Agrostis sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Backskärvfrö;Noccaea caerulescens;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Bockrot;Pimpinella saxifraga;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Euphrasia sp.;Euphrasia sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Fjällvedel;Astragalus alpinus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Flockfibbla;Hieracium umbellatum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Getväppling;Anthyllis vulneraria;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Groblad;Plantago major;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Grustrav;Arabidopsis suecica;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Grusviva;Androsace septentrionalis;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Gråbo;Artemisia vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Gulsporre;Linaria vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Klofibbla;Crepis tectorum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Kummin;Carum carvi;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Lundelm;Elymus caninus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Maskros;Taraxacum sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Mjölkört;Chamaenerion angustifolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Rödklöver;Trifolium pratense;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Rödsvingel;Festuca rubra;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Röllika;Achillea millefolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Stormåra;Gallium mollugo;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Timotej;Phleum pratense;;;;0
2017;1;Brunflo;20170718;Ytskrapning;4;Vitklöver;Trifolium repens;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Agrostis sp.;Agrostis sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Backskärvfrö;Noccaea caerulescens;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Bockrot;Pimpinella saxifraga;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Fjällvedel;Astragalus alpinus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Flockfibbla;Hieracium umbellatum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Getväppling;Anthyllis vulneraria;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Glasbjörk;Betula pubescens;;;;1
2017;1;Brunflo;20170718;Ytskrapning;5;Groblad;Plantago major;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Grustrav;Arabidopsis suecica;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Grusviva;Androsace septentrionalis;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Gråbo;Artemisia vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Gråfibbla;Pilosella officinarum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Klofibbla;Crepis tectorum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Kråkvicker;Vicia cracca;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Kummin;Carum carvi;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Käringtand;Lotus corniculatus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Liten blåklocka;Campanula rotundifolia;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Lundelm;Elymus caninus;Endast vegetativa skott men mkt likt;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Mjölkört;Chamaenerion angustifolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Renfana;Tanacetum vulgare;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Rödsvingel;Festuca rubra;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Röllika;Achillea millefolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Småsporre;Chaenorhinum minus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Stormåra;Gallium mollugo;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Storven;Agrostis gigantea;;;;0
2017;1;Brunflo;20170718;Ytskrapning;5;Vitklöver;Trifolium repens;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Agrostis sp.;Agrostis sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Botrychium sp.;Botrychium sp.;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Fjällvedel;Astragalus alpinus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Getväppling;Anthyllis vulneraria;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Groblad;Plantago major;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Grustrav;Arabidopsis suecica;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Grusviva;Androsace septentrionalis;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Gråbo;Artemisia vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Gråfibbla;Pilosella officinarum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Gulsporre;Linaria vulgaris;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Klofibbla;Crepis tectorum;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Kummin;Carum carvi;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Lundelm;Elymus caninus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Mjölkört;Chamaenerion angustifolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Renfana;Tanacetum vulgare;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Rödklöver;Trifolium pratense;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Rödsvingel;Festuca rubra;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Röllika;Achillea millefolium;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Sandnarv;Arenaria serpyllifolia;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Småsporre;Chaenorhinum minus;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Stormåra;Gallium mollugo;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Storven;Agrostis gigantea;;;;0
2017;1;Brunflo;20170718;Ytskrapning;6;Vitklöver;Trifolium repens;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Betula sp.;Betula sp.;;;;1
2017;1;Mattmar;20170722;Ytskrapning;1;Epilobium sp.;Epilobium sp.;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Festuca sp.;Festuca sp.;skott;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Fjällgröe;Poa alpina;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Gatkamomill;Matricaria discoidea;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Gråbo;Artemisia vulgaris;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Hundäxing;Dactylis glomerata;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Klofibbla;Crepis tectorum;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Krustistel;Carduus crispus;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Kråkvicker;Vicia cracca;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Kvickrot;Elytrigia repens;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Käringtand;Lotus corniculatus;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Nordbaldersbrå;Tripleurospermum maritimum subsp. subpolare;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Rödklöver;Trifolium pratense;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Rödsvingel;Festuca rubra;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Rödven;Agrostis capillaris;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Röllika;Achillea millefolium;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Sandnarv;Arenaria serpyllifolia;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Sandtrav;Arabidopsis arenosa;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Sandtrav;Arabidopsis arenosa;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Storven;Agrostis gigantea;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Taraxacum sp.;Taraxacum sp.;;;;0
2017;1;Mattmar;20170722;Ytskrapning;1;Timotej;Phleum pratense;;;;0
