Year;Station;Behandling;Ruta;Sandförekomst;Year.2;Station;Behandling;Ruta;Sandförekomst;Change
0;Dagarn;rotryckning/slåtter;1;30;6;Dagarn;rotryckning/slåtter;1;0;-30
0;Dagarn;rotryckning/slåtter;2;30;6;Dagarn;rotryckning/slåtter;2;0;-30
0;Dagarn;rotryckning/slåtter;3;0;6;Dagarn;rotryckning/slåtter;3;1;1
0;Dagarn;rotryckning/slåtter;4;5;6;Dagarn;rotryckning/slåtter;4;2;-3
0;Dagarn;rotryckning/slåtter;5;0;6;Dagarn;rotryckning/slåtter;5;1;1
0;Dagarn;rotryckning/slåtter;6;5;6;Dagarn;rotryckning/slåtter;6;60;55
0;Dala-Järna;rotryckning/slåtter;1;30;6;Dala-Järna;rotryckning/slåtter;1;1;-29
0;Dala-Järna;rotryckning/slåtter;2;60;6;Dala-Järna;rotryckning/slåtter;2;1;-59
0;Dala-Järna;rotryckning/slåtter;3;40;6;Dala-Järna;rotryckning/slåtter;3;10;-30
0;Dala-Järna;rotryckning/slåtter;4;60;6;Dala-Järna;rotryckning/slåtter;4;1;-59
0;Dala-Järna;rotryckning/slåtter;5;60;6;Dala-Järna;rotryckning/slåtter;5;1;-59
0;Dala-Järna;rotryckning/slåtter;6;50;6;Dala-Järna;rotryckning/slåtter;6;1;-49
0;Mockfjärd;rotryckning/slåtter;1;0;6;Mockfjärd;rotryckning/slåtter;1;10;10
0;Mockfjärd;rotryckning/slåtter;2;10;6;Mockfjärd;rotryckning/slåtter;2;0;-10
0;Mockfjärd;rotryckning/slåtter;3;80;6;Mockfjärd;rotryckning/slåtter;3;0;-80
0;Mockfjärd;rotryckning/slåtter;4;1;6;Mockfjärd;rotryckning/slåtter;4;0;-1
0;Mockfjärd;rotryckning/slåtter;5;1;6;Mockfjärd;rotryckning/slåtter;5;0;-1
0;Mockfjärd;rotryckning/slåtter;6;0;6;Mockfjärd;rotryckning/slåtter;6;0;0
0;Repbäcken;rotryckning/slåtter;1;0;6;Repbäcken;rotryckning/slåtter;1;1;1
0;Repbäcken;rotryckning/slåtter;2;0;6;Repbäcken;rotryckning/slåtter;2;1;1
0;Repbäcken;rotryckning/slåtter;3;55;6;Repbäcken;rotryckning/slåtter;3;0;-55
0;Repbäcken;rotryckning/slåtter;4;95;6;Repbäcken;rotryckning/slåtter;4;1;-94
0;Repbäcken;rotryckning/slåtter;5;25;6;Repbäcken;rotryckning/slåtter;5;40;15
0;Repbäcken;rotryckning/slåtter;6;50;6;Repbäcken;rotryckning/slåtter;6;0;-50
0;Repbäcken;ytskrapning/slåtter;1;70;6;Repbäcken;ytskrapning/slåtter;1;80;10
0;Repbäcken;ytskrapning/slåtter;2;60;6;Repbäcken;ytskrapning/slåtter;2;80;20
0;Repbäcken;ytskrapning/slåtter;3;45;6;Repbäcken;ytskrapning/slåtter;3;90;45
0;Repbäcken;ytskrapning/slåtter;4;90;6;Repbäcken;ytskrapning/slåtter;4;95;5
0;Repbäcken;ytskrapning/slåtter;5;50;6;Repbäcken;ytskrapning/slåtter;5;0;-50
0;Repbäcken;ytskrapning/slåtter;6;60;6;Repbäcken;ytskrapning/slåtter;6;1;-59
0;Ställdalen;rotryckning/slåtter;1;0;6;Ställdalen;rotryckning/slåtter;1;0;0
0;Ställdalen;rotryckning/slåtter;2;0;6;Ställdalen;rotryckning/slåtter;2;30;30
0;Ställdalen;rotryckning/slåtter;3;6;6;Ställdalen;rotryckning/slåtter;3;20;14
0;Ställdalen;rotryckning/slåtter;4;30;6;Ställdalen;rotryckning/slåtter;4;0;-30
0;Ställdalen;rotryckning/slåtter;5;4;6;Ställdalen;rotryckning/slåtter;5;0;-4
0;Ställdalen;rotryckning/slåtter;6;45;6;Ställdalen;rotryckning/slåtter;6;50;5
0;Vansbro;ytskrapning/slåtter;1;45;6;Vansbro;ytskrapning/slåtter;1;0;-45
0;Vansbro;ytskrapning/slåtter;2;40;6;Vansbro;ytskrapning/slåtter;2;1;-39
0;Vansbro;ytskrapning/slåtter;3;50;6;Vansbro;ytskrapning/slåtter;3;10;-40
0;Vansbro;ytskrapning/slåtter;4;50;6;Vansbro;ytskrapning/slåtter;4;20;-30
