År;Year;Station;Behandling;Ruta;Total.täckningsgrad.träd.och.buskar..;Förekommande.arter;Dead.Alive;Kat1;Kat2;Kat3;Kat4;Sandförekomst;Täckningsgrad
2017;1;Brunflo;rotryckning;1;1;Björk sp.;D;4;0;0;0;1;1
2017;1;Brunflo;rotryckning;2;1;Björk sp.;D;6;0;0;0;3;1
2017;1;Brunflo;rotryckning;3;1;Björk sp.;D;3;0;0;0;0;1
2017;1;Brunflo;rotryckning;4;1;Björk sp.;D;3;0;0;0;0;4
2017;1;Brunflo;rotryckning;4;1;Rönn;A;0;9;0;0;0;4
2017;1;Brunflo;rotryckning;4;2;Glasbjörk;A;0;24;0;0;0;4
2017;1;Brunflo;rotryckning;5;0;;;0;0;0;0;2;0
2017;1;Brunflo;rotryckning;6;0;;;0;0;0;0;1;0
2017;1;Brunflo;ytskrapning;1;1;Glasbjörk;A;0;7;0;0;70;2
2017;1;Brunflo;ytskrapning;1;1;Björk sp.;D;5;0;0;0;70;2
2017;1;Brunflo;ytskrapning;2;0;;;0;0;0;0;50;0
2017;1;Brunflo;ytskrapning;3;0;;;0;0;0;0;60;0
2017;1;Brunflo;ytskrapning;4;0;;;0;0;0;0;40;0
2017;1;Brunflo;ytskrapning;5;1;Björk sp.;D;1;0;0;0;40;1
2017;1;Brunflo;ytskrapning;6;0;;;0;0;0;0;50;0
2017;1;Ope;ytskrapning;1;0;;;0;0;0;0;20;0
2017;1;Ope;ytskrapning;2;0;;;0;0;0;0;30;0
2017;1;Ope;ytskrapning;3;0;;;0;0;0;0;40;0
2017;1;Ope;ytskrapning;4;0;;;0;0;0;0;30;0
2017;1;Ope;ytskrapning;5;0;;;0;0;0;0;30;0
2017;1;Ope;ytskrapning;6;0;;;0;0;0;0;30;0
2017;1;Ope;rotryckning;1;0;;;0;0;0;0;0;0
2017;1;Ope;rotryckning;2;0;;;0;0;0;0;0;0
2017;1;Ope;rotryckning;3;0;;;0;0;0;0;0;0
2017;1;Ope;rotryckning;4;0;;;0;0;0;0;1;0
2017;1;Ope;rotryckning;5;0;;;0;0;0;0;1;0
2017;1;Ope;rotryckning;6;0;;;0;0;0;0;0;0
2017;1;Trångsviken;ytskrapning;1;0;;;0;0;0;0;5;0
2017;1;Trångsviken;ytskrapning;2;0;;;0;0;0;0;5;0
2017;1;Trångsviken;ytskrapning;3;0;;;0;0;0;0;5;0
2017;1;Trångsviken;ytskrapning;4;0;;;0;0;0;0;5;0
2017;1;Trångsviken;ytskrapning;5;0;;;0;0;0;0;5;0
2017;1;Trångsviken;ytskrapning;6;0;;;0;0;0;0;5;0
2017;1;Trångsviken;rotryckning;1;1;Glasbjörk;D;0;7;0;0;1;2
2017;1;Trångsviken;rotryckning;1;1;Salix sp.;D;1;17;0;0;1;2
2017;1;Trångsviken;rotryckning;2;1;Glasbjörk;D;0;1;0;0;0;1
2017;1;Trångsviken;rotryckning;3;1;Betula sp.;D;2;0;0;0;2;1
2017;1;Trångsviken;rotryckning;4;1;Betula sp.;D;7;0;0;0;3;5
2017;1;Trångsviken;rotryckning;4;2;Glasbjörk;D;0;24;0;0;3;5
2017;1;Trångsviken;rotryckning;4;2;Salix sp.;D;2;20;0;0;3;5
2017;1;Trångsviken;rotryckning;5;1;Glasbjörk;D;0;1;0;0;1;1
2017;1;Trångsviken;rotryckning;6;0;;;0;0;0;0;1;0
2017;1;Mattmar;ytskrapning;1;1;Betula sp.;D;1;0;0;0;20;1
2017;1;Mattmar;ytskrapning;2;0;;;0;0;0;0;20;0
2017;1;Mattmar;ytskrapning;3;0;;;0;0;0;0;20;0
2017;1;Mattmar;ytskrapning;4;0;;;0;0;0;0;30;0
2017;1;Mattmar;ytskrapning;5;0;;;0;0;0;0;30;0
2017;1;Mattmar;ytskrapning;6;0;;;0;0;0;0;30;0
2017;1;Mattmar;rotryckning;1;1;Betula sp.;D;1;0;0;0;1;1
2017;1;Mattmar;rotryckning;2;1;Betula sp.;D;1;0;0;0;1;2
2017;1;Mattmar;rotryckning;2;1;Glasbjörk;D;0;2;0;0;1;2
2017;1;Mattmar;rotryckning;3;1;Betula sp.;D;2;0;0;0;3;7
2017;1;Mattmar;rotryckning;3;1;Glasbjörk;D;0;10;0;0;3;7
2017;1;Mattmar;rotryckning;3;1;Salix sp.;D;0;0;0;0;3;7
2017;1;Mattmar;rotryckning;3;3;Vårtbjörk;D;0;0;0;0;3;7
2017;1;Mattmar;rotryckning;3;1;tall;A;0;1;0;0;3;7
2017;1;Mattmar;rotryckning;4;1;tall;D;0;1;0;0;2;5
