Station;Behandling;Year;Ruta;Täckning.ruta;mean.täck;se
Brunflo;rotryckning;1;1;1;1;0,43266392
Brunflo;rotryckning;1;2;1;1;0,43266392
Brunflo;rotryckning;1;3;1;1;0,43266392
Brunflo;rotryckning;1;4;4;4;0,43266392
Brunflo;rotryckning;1;5;0;0;0,43266392
Brunflo;rotryckning;1;6;0;0;0,43266392
Brunflo;rotryckning;6;1;0;0;0,09153482
Brunflo;rotryckning;6;2;0;0;0,09153482
Brunflo;rotryckning;6;3;0;0;0,09153482
Brunflo;rotryckning;6;4;0;0;0,09153482
Brunflo;rotryckning;6;5;0;0;0,09153482
Brunflo;rotryckning;6;6;0;0;0,09153482
Brunflo;ytskrapning;1;1;2;2;0,098294637
Brunflo;ytskrapning;1;2;0;0;0,098294637
Brunflo;ytskrapning;1;3;0;0;0,098294637
Brunflo;ytskrapning;1;4;0;0;0,098294637
Brunflo;ytskrapning;1;5;1;1;0,098294637
Brunflo;ytskrapning;1;6;0;0;0,098294637
Brunflo;ytskrapning;6;1;0;0;0,041666667
Brunflo;ytskrapning;6;2;0;0;0,041666667
Brunflo;ytskrapning;6;3;0;0;0,041666667
Brunflo;ytskrapning;6;4;0;0;0,041666667
Brunflo;ytskrapning;6;5;0;0;0,041666667
Brunflo;ytskrapning;6;6;0;0;0,041666667
Dagarn;rotryckning/slåtter;0;1;6;6;2,204975217
Dagarn;rotryckning/slåtter;0;2;2;2;2,204975217
Dagarn;rotryckning/slåtter;0;3;1;1;2,204975217
Dagarn;rotryckning/slåtter;0;4;5;5;2,204975217
Dagarn;rotryckning/slåtter;0;5;23;23;2,204975217
Dagarn;rotryckning/slåtter;0;6;45;45;2,204975217
Dagarn;rotryckning/slåtter;6;1;1;1;0,100810889
Dagarn;rotryckning/slåtter;6;2;1;1;0,100810889
Dagarn;rotryckning/slåtter;6;3;2;2;0,100810889
Dagarn;rotryckning/slåtter;6;4;1;1;0,100810889
Dagarn;rotryckning/slåtter;6;5;1,5;1,5;0,100810889
Dagarn;rotryckning/slåtter;6;6;0;0;0,100810889
Dala-Järna;rotryckning/slåtter;0;1;0;0;2,204975217
Dala-Järna;rotryckning/slåtter;0;2;0;0;2,204975217
Dala-Järna;rotryckning/slåtter;0;3;0;0;2,204975217
Dala-Järna;rotryckning/slåtter;0;4;1;1;2,204975217
Dala-Järna;rotryckning/slåtter;0;5;0;0;2,204975217
Dala-Järna;rotryckning/slåtter;0;6;15;15;2,204975217
Dala-Järna;rotryckning/slåtter;6;1;0;0;0,100810889
Dala-Järna;rotryckning/slåtter;6;2;0;0;0,100810889
Dala-Järna;rotryckning/slåtter;6;3;0;0;0,100810889
Dala-Järna;rotryckning/slåtter;6;4;0;0;0,100810889
Dala-Järna;rotryckning/slåtter;6;5;0;0;0,100810889
Dala-Järna;rotryckning/slåtter;6;6;0;0;0,100810889
Mattmar;rotryckning;1;1;1;1;0,43266392
Mattmar;rotryckning;1;2;2;2;0,43266392
Mattmar;rotryckning;1;3;7;7;0,43266392
Mattmar;rotryckning;1;4;5;5;0,43266392
Mattmar;rotryckning;1;5;6;6;0,43266392
Mattmar;rotryckning;1;6;2;2;0,43266392
Mattmar;rotryckning;6;1;1;1;0,09153482
Mattmar;rotryckning;6;2;0;0;0,09153482
Mattmar;rotryckning;6;3;0;0;0,09153482
Mattmar;rotryckning;6;4;0;0;0,09153482
Mattmar;rotryckning;6;5;0;0;0,09153482
Mattmar;rotryckning;6;6;2;2;0,09153482
Mattmar;ytskrapning;1;1;1;1;0,098294637
Mattmar;ytskrapning;1;2;0;0;0,098294637
Mattmar;ytskrapning;1;3;0;0;0,098294637
Mattmar;ytskrapning;1;4;0;0;0,098294637
Mattmar;ytskrapning;1;5;0;0;0,098294637
Mattmar;ytskrapning;1;6;0;0;0,098294637
Mattmar;ytskrapning;6;1;0;0;0,041666667
Mattmar;ytskrapning;6;2;1;1;0,041666667
Mattmar;ytskrapning;6;3;0;0;0,041666667
Mattmar;ytskrapning;6;4;0;0;0,041666667
Mattmar;ytskrapning;6;5;0;0;0,041666667
Mattmar;ytskrapning;6;6;0;0;0,041666667
Mockfjärd;rotryckning/slåtter;0;1;0;0;2,204975217
Mockfjärd;rotryckning/slåtter;0;2;1;1;2,204975217
Mockfjärd;rotryckning/slåtter;0;3;0;0;2,204975217
Mockfjärd;rotryckning/slåtter;0;4;0;0;2,204975217
Mockfjärd;rotryckning/slåtter;0;5;0;0;2,204975217
Mockfjärd;rotryckning/slåtter;0;6;2;2;2,204975217
Mockfjärd;rotryckning/slåtter;6;1;0;0;0,100810889
Mockfjärd;rotryckning/slåtter;6;2;0;0;0,100810889
Mockfjärd;rotryckning/slåtter;6;3;0;0;0,100810889
Mockfjärd;rotryckning/slåtter;6;4;0;0;0,100810889
Mockfjärd;rotryckning/slåtter;6;5;0;0;0,100810889
Mockfjärd;rotryckning/slåtter;6;6;1;1;0,100810889
Ope;rotryckning;1;1;0;0;0,43266392
Ope;rotryckning;1;2;0;0;0,43266392
Ope;rotryckning;1;3;0;0;0,43266392
Ope;rotryckning;1;4;0;0;0,43266392
Ope;rotryckning;1;5;0;0;0,43266392
Ope;rotryckning;1;6;0;0;0,43266392
Ope;rotryckning;6;1;0;0;0,09153482
Ope;rotryckning;6;2;0;0;0,09153482
Ope;rotryckning;6;3;0;0;0,09153482
Ope;rotryckning;6;4;0;0;0,09153482
Ope;rotryckning;6;5;0;0;0,09153482
Ope;rotryckning;6;6;0;0;0,09153482
Ope;ytskrapning;1;1;0;0;0,098294637
Ope;ytskrapning;1;2;0;0;0,098294637
Ope;ytskrapning;1;3;0;0;0,098294637
Ope;ytskrapning;1;4;0;0;0,098294637
Ope;ytskrapning;1;5;0;0;0,098294637
Ope;ytskrapning;1;6;0;0;0,098294637
Ope;ytskrapning;6;1;0;0;0,041666667
Ope;ytskrapning;6;2;0;0;0,041666667
Ope;ytskrapning;6;3;0;0;0,041666667
Ope;ytskrapning;6;4;0;0;0,041666667
Ope;ytskrapning;6;5;0;0;0,041666667
Ope;ytskrapning;6;6;0;0;0,041666667
Repbäcken;rotryckning/slåtter;0;1;15;15;2,204975217
Repbäcken;rotryckning/slåtter;0;2;25;25;2,204975217
Repbäcken;rotryckning/slåtter;0;3;0;0;2,204975217
Repbäcken;rotryckning/slåtter;0;4;0;0;2,204975217
Repbäcken;rotryckning/slåtter;0;5;5;5;2,204975217
Repbäcken;rotryckning/slåtter;0;6;3;3;2,204975217
Repbäcken;rotryckning/slåtter;6;1;0;0;0,100810889
Repbäcken;rotryckning/slåtter;6;2;0;0;0,100810889
Repbäcken;rotryckning/slåtter;6;3;0;0;0,100810889
Repbäcken;rotryckning/slåtter;6;4;0;0;0,100810889
Repbäcken;rotryckning/slåtter;6;5;0;0;0,100810889
Repbäcken;rotryckning/slåtter;6;6;0;0;0,100810889
