Year;Station;Datum;Pairnr;Treatment;Jordtyp;Vegetation height cm;Litter depth cm;Dug holes;No. subplots with more than 50% bare soil;No. subplots with more than 50% rock;No. subplots with more than 50% grass;Art;Occurrences out of 25;Species;Family;Tree/bush
2020;Norra Valbo;2020-06-15;1;Control;Fuktighållande naturgrus alla dimensioner upptill 1 dmsten;0;0;0;0;2;5;Rödven;23;Agrostis capillaris;Poaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Rödsvingel;3;Festuca rubra;Poaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Knippfryle;7;Luzula campestris;Juncaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Hönsarv;1;Cerastium fontanum;Caryophyllaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Äkta johannesört;8;Hypericum perforatum;Hypericaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Vårtbjörk;25;Betula pendula;Betulaceae;1
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Renfana;4;Tanacetum vulgare;Asteraceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Ängssyra;1;Rumex acetosa;Polygonaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Rödklöver;4;Trifolium pratense;Fabaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Humlelusern;1;Medicago lupulina;Fabaceae;0
2020;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;5;Kråkvicker;1;Vicia cracca;Fabaceae;0
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Knippfryle;5;Luzula campestris;Juncaceae;0
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Rödven;22;Agrostis capillaris;Poaceae;0
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Renfana;3;Tanacetum vulgare;Asteraceae;0
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Äkta johannesört;8;Hypericum perforatum;Hypericaceae;0
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Vitklöver;1;Trifolium repens;Fabaceae;0
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Vårtbjörk;22;Betula pendula;Betulaceae;1
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Kråkvicker;3;Vicia cracca;Fabaceae;0
2020;Norra Valbo;2020-06-15;2;Control;;0;0;0;0;4;1;Knytling;4;Herniaria glabra;Caryophyllaceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Knippfryle;5;Luzula campestris;Juncaceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Renfana;2;Tanacetum vulgare;Asteraceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Kråkvicker;1;Vicia cracca;Fabaceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Stormåra;1;Gallium mollugo;Rubiaceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Hönsarv;1;Cerastium fontanum;Caryophyllaceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Knytling;7;Herniaria glabra;Caryophyllaceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Äkta johannesört;5;Hypericum perforatum;Hypericaceae;0
2020;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;1;Rödklöver;1;Trifolium pratense;Fabaceae;0
