Year;Station;Pairnr;Treatment;Acer platanoides;Achillea millefolium;Agrostis capillaris;Arabidopsis suecica;Arctostaphylos uva-ursi;Arenaria humifusa;Artemisia vulgaris;Avenella flexuosa;Betula pendula;Betula pubescens;Calluna vulgaris;Campanula patula;Campanula rapunculoides;Campanula rotundifolia;Carex leporina;Carex pilulifera;Carum carvi;Cerastium fontanum;Chaenorhinum minus;Chamaenerion angustifolium;Chenopodium album;Convolvulus arvensis;Cota tinctoria;Draba verna;Elytrigia repens;Epilobium montanum;Equisetum arvense;Equisetum hyemale;Festuca ovina;Festuca rubra;Fragaria vesca;Galium boreale;Galium verum;Gallium mollugo;Herniaria glabra;Hieracium sect. Tridentata;Hieracium sect. Vulgata;Hieracium umbellatum;Hypericum maculatum;Hypericum perforatum;Knautia arvensis;Lathyrus pratensis;Leucanthemum vulgare;Linaria repens;Linaria vulgaris;Lotus corniculatus;Luzula campestris;Luzula multiflora;Medicago lupulina;Picea abies;Pilosella cymosa;Pilosella officinarum;Pimpinella saxifraga;Pinus sylvestris;Plantago major;Poa compressa;Poa pratensis;Populus tremula;Potentilla argentea;Prunella vulgaris;Prunus padus;Rumex acetosa;Rumex acetosella;Salix caprea;Salix myrsinifolia;Schedonorus pratensis;Scorzoneroides autumnalis;Senecio vulgaris;Sonchus asper;Spergula arvensis;Tanacetum vulgare;Taraxacum;Trifolium medium;Trifolium pratense;Trifolium repens;Vaccinium vitis-idaea;Veronica chamaedrys;Veronica officinalis;Vicia cracca;Vicia tetrasperma
2020;Mo Grindar;1;Control;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;1;Milled;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;2;Control;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;2;Milled;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;3;Control;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;3;Milled;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;4;Control;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;4;Milled;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;Mo Grindar;5;Control;0;0;1;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2020;Mo Grindar;5;Milled;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
