Station;Pairnr;Treatment;Beta.type;value
Mo Grindar;1;Control;beta.sim;0,25
Mo Grindar;1;Milled;beta.sim;1
Mo Grindar;3;Control;beta.sim;0
Mo Grindar;3;Milled;beta.sim;0
Mo Grindar;4;Control;beta.sim;0
Mo Grindar;4;Milled;beta.sim;NA
Mo Grindar;5;Control;beta.sim;0
Mo Grindar;5;Milled;beta.sim;NA
Mo Grindar;6;Control;beta.sim;0
Mo Grindar;6;Milled;beta.sim;NA
Mo Grindar;7;Control;beta.sim;0,5
Mo Grindar;7;Milled;beta.sim;0,5
Mo Grindar;8;Control;beta.sim;0,6
Mo Grindar;8;Milled;beta.sim;1
Mo Grindar;9;Control;beta.sim;0,5
Mo Grindar;9;Milled;beta.sim;0,333333333
Norra Valbo;1;Control;beta.sim;0,454545455
Norra Valbo;1;Milled;beta.sim;0,555555556
Norra Valbo;3;Control;beta.sim;0,636363636
Norra Valbo;3;Milled;beta.sim;0,444444444
Norra Valbo;4;Control;beta.sim;0,25
Norra Valbo;4;Milled;beta.sim;0,444444444
Norra Valbo;5;Control;beta.sim;0,363636364
Norra Valbo;5;Milled;beta.sim;0,727272727
Norra Valbo;6;Control;beta.sim;0,4375
Norra Valbo;6;Milled;beta.sim;0,545454545
Norra Valbo;7;Control;beta.sim;0,083333333
Norra Valbo;7;Milled;beta.sim;0,3
Norra Valbo;8;Control;beta.sim;0,454545455
Norra Valbo;8;Milled;beta.sim;0,555555556
Norra Valbo;9;Control;beta.sim;0,8
Norra Valbo;9;Milled;beta.sim;0,636363636
Storvik;1;Control;beta.sim;0,333333333
Storvik;1;Milled;beta.sim;0,285714286
Storvik;3;Control;beta.sim;0,666666667
Storvik;3;Milled;beta.sim;0,166666667
Storvik;4;Control;beta.sim;0,4
Storvik;4;Milled;beta.sim;0,25
Storvik;5;Control;beta.sim;0,333333333
Storvik;5;Milled;beta.sim;0,428571429
Storvik;6;Control;beta.sim;0,142857143
Storvik;6;Milled;beta.sim;0,333333333
Storvik;7;Control;beta.sim;0,5
Storvik;7;Milled;beta.sim;0,5
Storvik;8;Control;beta.sim;0,285714286
Storvik;8;Milled;beta.sim;0,5
Storvik;9;Control;beta.sim;0,2
