Year;Station;Pairnr;Treatment;Taxa_S;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;Area.for.growth.m2;Margalef;Equitability_J;Individuals;Dominance_D;Simpson_1-D;Shannon_H;Evenness_e^H/S;Brillouin;Menhinick
Year 1;Mo Grindar;1;Control;4;0;1,5;0;1;1;0,24;0,7836;0,8397;46;0,3536;0,6464;1,164;0,8007;1,02;0,5898
Year 1;Mo Grindar;1;Milled;1;0;0;24;1;0;0,24;0;;1;NAN;NAN;0;1;0;1
Year 1;Mo Grindar;3;Control;1;20;3;0;0;0;0,25;0;;8;1;0;0;1;0;0,3536
Year 1;Mo Grindar;3;Milled;1;0;0;10;15;0;0,1;0;;2;1;0;0;1;0;0,7071
Year 1;Mo Grindar;4;Control;1;35;2;0;0;0;0,25;0;;25;1;0;0;1;0;0,2
Year 1;Mo Grindar;4;Milled;0;0;0;21;4;0;0,21;;;;;;;;;
Year 1;Mo Grindar;5;Control;3;20;1;0;0;0;0,25;0,6379;0,3634;23;0,83;0,17;0,3992;0,4969;0,2707;0,6255
Year 1;Mo Grindar;5;Milled;0;0;0;21;4;0;0,21;;;;;;;;;
Year 1;Mo Grindar;6;Control;5;0;0,5;4;6;1;0,19;1,335;0,9215;20;0,2368;0,7632;1,483;0,8814;1,13;1,118
Year 1;Mo Grindar;6;Milled;0;0;0;22;3;0;0,22;;;;;;;;;
Year 1;Mo Grindar;7;Control;2;7,5;0;6;0;0;0,25;0,3107;0,7508;25;0,6667;0,3333;0,5204;0,8414;0,4352;0,4
Year 1;Mo Grindar;7;Milled;2;0;0;8;17;0;0,08;0,6213;1,115;5;0,4;0,6;0,773;1,083;0,4605;0,8944
Year 1;Mo Grindar;8;Control;5;10;0,5;0;8;0;0,17;1,116;0,6376;36;0,5016;0,4984;1,026;0,5581;0,8264;0,8333
Year 1;Mo Grindar;8;Milled;1;0;0;22;3;0;0,22;0;;3;1;0;0;1;0;0,5774
Year 1;Mo Grindar;9;Control;2;10;2;0;10;0;0,15;0,3034;0,4077;27;0,8575;0,1425;0,2826;0,6633;0,2171;0,3849
Year 1;Mo Grindar;9;Milled;3;0;0;8;17;0;0,08;1,82;1,303;3;0;1;1,432;1,396;0,5973;1,732
Year 1;Norra Valbo;1;Control;11;0;0;0;2;5;0,23;2,295;0,7891;78;0,2055;0,7945;1,892;0,6031;1,641;1,246
Year 1;Norra Valbo;1;Milled;9;0;0;21;4;0;0,21;2,768;1,025;18;0,1046;0,8954;2,251;1,056;1,541;2,121
Year 1;Norra Valbo;3;Control;12;0;0;1;2;1;0,23;2,943;0,91;42;0,1324;0,8676;2,261;0,7995;1,795;1,852
Year 1;Norra Valbo;3;Milled;9;0;0;22;3;0;0,22;2,551;0,899;23;0,1818;0,8182;1,975;0,8011;1,419;1,877
Year 1;Norra Valbo;4;Control;13;2,5;0,5;0;0;3;0,25;2,421;0,8423;142;0,1336;0,8664;2,161;0,6674;1,976;1,091
Year 1;Norra Valbo;4;Milled;9;0;0;25;0;0;0,25;2,232;0,8822;36;0,1952;0,8048;1,938;0,7719;1,534;1,5
Year 1;Norra Valbo;5;Control;18;2,5;0;0;1;0;0,24;3,318;0,8291;168;0,1115;0,8885;2,397;0,6103;2,184;1,389
Year 1;Norra Valbo;5;Milled;11;0;0;23;2;0;0,23;2,711;0,8858;40;0,1821;0,8179;2,124;0,7605;1,673;1,739
Year 1;Norra Valbo;6;Control;16;1;0;0;5;3;0,2;3,112;0,8618;124;0,1147;0,8853;2,39;0,6818;2,136;1,437
Year 1;Norra Valbo;6;Milled;11;0;0;18;7;0;0,18;2,749;0,9812;38;0,1024;0,8976;2,353;0,9559;1,865;1,784
Year 1;Norra Valbo;7;Control;16;1;0;0;2;0;0,23;3,027;0,894;142;0,09869;0,9013;2,479;0,7454;2,245;1,343
Year 1;Norra Valbo;7;Milled;10;0;0;24;1;0;0,24;2,646;0,8518;30;0,2;0,8;1,961;0,7109;1,469;1,826
Year 1;Norra Valbo;8;Control;11;1,5;0;1;3;5;0,22;2,212;0,8762;92;0,1474;0,8526;2,101;0,7432;1,868;1,147
Year 1;Norra Valbo;8;Milled;9;0;0;23;2;0;0,23;2,025;0,7921;52;0,2647;0,7353;1,74;0,6333;1,448;1,248
Year 1;Norra Valbo;9;Control;16;0;0;0;2;0;0,23;3,325;0,8581;91;0,1194;0,8806;2,379;0,6747;2,059;1,677
Year 1;Norra Valbo;9;Milled;13;0;0;23;2;0;0,23;3,171;0,8502;44;0,1575;0,8425;2,181;0,681;1,718;1,96
Year 1;Storvik;1;Control;6;10;0,5;0;0;0;0,25;1,198;0,7551;65;0,3043;0,6957;1,353;0,6448;1,195;0,7442
Year 1;Storvik;1;Milled;9;0;0;24;1;1;0,24;2,127;0,882;43;0,1949;0,8051;1,938;0,7717;1,584;1,372
Year 1;Storvik;3;Control;9;0;0;0;0;1;0,25;1,954;0,8585;60;0,1932;0,8068;1,886;0,7328;1,618;1,162
Year 1;Storvik;3;Milled;10;0;0;1;24;1;0,01;2,762;0,9817;26;0,1138;0,8862;2,26;0,9587;1,673;1,961
Year 1;Storvik;4;Control;5;2,5;2;0;0;1;0,25;1,057;0,6749;44;0,4165;0,5835;1,086;0,5926;0,9166;0,7538
Year 1;Storvik;4;Milled;5;0;0;24;1;0;0,24;1,276;0,9025;23;0,2648;0,7352;1,453;0,8548;1,133;1,043
Year 1;Storvik;5;Control;3;0;1;0;0;3;0,25;0,572;0,6558;33;0,5985;0,4015;0,7205;0,6851;0,5993;0,5222
Year 1;Storvik;5;Milled;8;0;0;21;4;0;0,21;1,772;0,7906;52;0,2564;0,7436;1,644;0,647;1,384;1,109
Year 1;Storvik;6;Control;7;5;1;0;0;2;0,25;1,595;0,6992;43;0,3732;0,6268;1,36;0,5569;1,11;1,067
Year 1;Storvik;6;Milled;7;0;0;10;6;1;0,19;1,605;0,8579;42;0,2172;0,7828;1,669;0,7584;1,394;1,08
Year 1;Storvik;7;Control;6;0;0,5;1;5;0;0,2;1,221;0,8654;60;0,2508;0,7492;1,551;0,7857;1,366;0,7746
Year 1;Storvik;7;Milled;7;0;0;11;14;0;0,11;1,82;0,9537;27;0,1652;0,8348;1,856;0,9138;1,449;1,347
Year 1;Storvik;8;Control;7;1;1;1;4;0;0,21;1,454;0,8931;62;0,1962;0,8038;1,738;0,8122;1,528;0,889
Year 1;Storvik;8;Milled;4;0;0;18;7;0;0,18;1,108;0,9705;15;0,2762;0,7238;1,345;0,96;0,9873;1,033
Year 1;Storvik;9;Control;5;7,5;2;0;0;0;0,25;0,977;0,758;60;0,3486;0,6514;1,22;0,6774;1,078;0,6455
Year 1;Storvik;9;Milled;7;0;0;18;7;0;0,18;1,542;0,9639;49;0,1633;0,8367;1,876;0,9322;1,611;1
Year 1;Tallåsen;1;Control;3;5;3;0;0;0;0,25;0,5539;0,7014;37;0,5135;0,4865;0,7706;0,7203;0,6637;0,4932
Year 1;Tallåsen;1;Milled;0;0;0;24;1;0;0,24;;;;;;;;;
Year 1;Tallåsen;3;Control;2;0;0,5;3;1;0;0,24;0,3001;0,7027;28;0,6958;0,3042;0,4871;0,8138;0,4106;0,378
Year 1;Tallåsen;3;Milled;0;0;0;24;1;0;0,24;;;;;;;;;
Year 1;Tallåsen;4;Control;3;2,5;1;0;0;0;0,25;0,5672;0,6804;34;0,574;0,426;0,7475;0,7039;0,6282;0,5145
Year 1;Tallåsen;4;Milled;2;0;0;20;5;0;0,2;0,9102;1,159;3;0,3333;0,6667;0,8032;1,116;0,3662;1,155
