Year;Station;Pairnr;Treatment;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;Area.for.growth.m2;Taxa_S;Individuals;Dominance_D;Simpson_1-D;Shannon_H;Evenness_e^H/S;Brillouin;Menhinick;Margalef;Equitability_J;Fisher_alpha;Berger-Parker;Chao-1;iChao-1;ACE;Squares
Year 1;Mo Grindar;1;Control;0;1,5;0;1;1;0,24;4;46;0,3536;0,6464;1,164;0,8007;1,02;0,5898;0,7836;0,8397;1,053;0,5;4;4;4;4
Year 1;Mo Grindar;1;Milled;0;0;24;1;0;0,24;1;1;NAN;NAN;0;1;0;1;0;;0;1;1;1;1;INF
Year 1;Mo Grindar;3;Control;20;3;0;0;0;0,25;1;8;1;0;0;1;0;0,3536;0;;0,3017;1;1;1;1;1
Year 1;Mo Grindar;3;Milled;0;0;10;15;0;0,1;1;2;1;0;0;1;0;0,7071;0;;0,7959;1;1;1;1;1
Year 1;Mo Grindar;4;Control;35;2;0;0;0;0,25;1;25;1;0;0;1;0;0,2;0;;0,2085;1;1;1;1;1
Year 1;Mo Grindar;4;Milled;0;0;21;4;0;0,21;0;;;;;;;;;;;;;;;
Year 1;Mo Grindar;5;Control;20;1;0;0;0;0,25;3;23;0,83;0,17;0,3992;0,4969;0,2707;0,6255;0,6379;0,3634;0,9211;0,913;3,957;3,957;3,957;6,388
Year 1;Mo Grindar;5;Milled;0;0;21;4;0;0,21;0;;;;;;;;;;;;;;;
Year 1;Mo Grindar;6;Control;0;0,5;4;6;1;0,19;5;20;0,2368;0,7632;1,483;0,8814;1,13;1,118;1,335;0,9215;2,14;0,3;5,95;5,95;6,257;6,128
Year 1;Mo Grindar;6;Milled;0;0;22;3;0;0,22;0;;;;;;;;;;;;;;;
Year 1;Mo Grindar;7;Control;7,5;0;6;0;0;0,25;2;25;0,6667;0,3333;0,5204;0,8414;0,4352;0,4;0,3107;0,7508;0,5116;0,8;2;2;2;2
Year 1;Mo Grindar;7;Milled;0;0;8;17;0;0,08;2;5;0,4;0,6;0,773;1,083;0,4605;0,8944;0,6213;1,115;1,235;0,6;2;2;2;2
Year 1;Mo Grindar;8;Control;10;0,5;0;8;0;0,17;5;36;0,5016;0,4984;1,026;0,5581;0,8264;0,8333;1,116;0,6376;1,577;0,6944;5,972;5,972;6,921;7,078
Year 1;Mo Grindar;8;Milled;0;0;22;3;0;0,22;1;3;1;0;0;1;0;0,5774;0;;0,5252;1;1;1;1;1
Year 1;Mo Grindar;9;Control;10;2;0;10;0;0,15;2;27;0,8575;0,1425;0,2826;0,6633;0,2171;0,3849;0,3034;0,4077;0,4988;0,9259;2;2;2;2
Year 1;Mo Grindar;9;Milled;0;0;8;17;0;0,08;3;3;0;1;1,432;1,396;0,5973;1,732;1,82;1,303;0;0,3333;5;5;5;INF
Year 1;Norra Valbo;1;Control;0;0;0;2;5;0,23;10;53;0,23;0,77;1,852;0,6374;1,537;1,374;2,267;0,8044;3,645;0,434;15,89;16,36;13,82;13,97
Year 1;Norra Valbo;1;Milled;0;0;21;4;0;0,21;8;17;0,1176;0,8824;2,127;1,049;1,462;1,94;2,471;1,023;5,898;0,2941;8,706;9,759;10,23;9,664
