"";"Year";"Station";"Behandling";"Ruta";"Sandförekomst";"se";"mean.sand"
"1";"0";"Dagarn";"rotryckning/slåtter";1;30;5,86893895388634;11,6666666666667
"2";"0";"Dagarn";"rotryckning/slåtter";2;30;5,86893895388634;11,6666666666667
"3";"0";"Dagarn";"rotryckning/slåtter";3;0;5,86893895388634;11,6666666666667
"4";"0";"Dagarn";"rotryckning/slåtter";4;5;5,86893895388634;11,6666666666667
"5";"0";"Dagarn";"rotryckning/slåtter";5;0;5,86893895388634;11,6666666666667
"6";"0";"Dagarn";"rotryckning/slåtter";6;5;5,86893895388634;11,6666666666667
"7";"0";"Dala-Järna";"rotryckning/slåtter";1;30;5,16397779494322;50
"8";"0";"Dala-Järna";"rotryckning/slåtter";2;60;5,16397779494322;50
"9";"0";"Dala-Järna";"rotryckning/slåtter";3;40;5,16397779494322;50
"10";"0";"Dala-Järna";"rotryckning/slåtter";4;60;5,16397779494322;50
"11";"0";"Dala-Järna";"rotryckning/slåtter";5;60;5,16397779494322;50
"12";"0";"Dala-Järna";"rotryckning/slåtter";6;50;5,16397779494322;50
"13";"0";"Mockfjärd";"rotryckning/slåtter";1;0;13,0273217167272;15,3333333333333
"14";"0";"Mockfjärd";"rotryckning/slåtter";2;10;13,0273217167272;15,3333333333333
"15";"0";"Mockfjärd";"rotryckning/slåtter";3;80;13,0273217167272;15,3333333333333
"16";"0";"Mockfjärd";"rotryckning/slåtter";4;1;13,0273217167272;15,3333333333333
"17";"0";"Mockfjärd";"rotryckning/slåtter";5;1;13,0273217167272;15,3333333333333
"18";"0";"Mockfjärd";"rotryckning/slåtter";6;0;13,0273217167272;15,3333333333333
"19";"0";"Repbäcken";"rotryckning/slåtter";1;0;14,9861046751093;37,5
"20";"0";"Repbäcken";"rotryckning/slåtter";2;0;14,9861046751093;37,5
"21";"0";"Repbäcken";"rotryckning/slåtter";3;55;14,9861046751093;37,5
"22";"0";"Repbäcken";"rotryckning/slåtter";4;95;14,9861046751093;37,5
"23";"0";"Repbäcken";"rotryckning/slåtter";5;25;14,9861046751093;37,5
"24";"0";"Repbäcken";"rotryckning/slåtter";6;50;14,9861046751093;37,5
"25";"0";"Repbäcken";"ytskrapning/slåtter";1;70;6,55108133567785;62,5
"26";"0";"Repbäcken";"ytskrapning/slåtter";2;60;6,55108133567785;62,5
"27";"0";"Repbäcken";"ytskrapning/slåtter";3;45;6,55108133567785;62,5
"28";"0";"Repbäcken";"ytskrapning/slåtter";4;90;6,55108133567785;62,5
"29";"0";"Repbäcken";"ytskrapning/slåtter";5;50;6,55108133567785;62,5
"30";"0";"Repbäcken";"ytskrapning/slåtter";6;60;6,55108133567785;62,5
"31";"0";"Ställdalen";"rotryckning/slåtter";1;0;7,68729109923934;14,1666666666667
"32";"0";"Ställdalen";"rotryckning/slåtter";2;0;7,68729109923934;14,1666666666667
"33";"0";"Ställdalen";"rotryckning/slåtter";3;6;7,68729109923934;14,1666666666667
"34";"0";"Ställdalen";"rotryckning/slåtter";4;30;7,68729109923934;14,1666666666667
"35";"0";"Ställdalen";"rotryckning/slåtter";5;4;7,68729109923934;14,1666666666667
"36";"0";"Ställdalen";"rotryckning/slåtter";6;45;7,68729109923934;14,1666666666667
"37";"0";"Vansbro";"ytskrapning/slåtter";1;45;3,09569593683445;47,5
"38";"0";"Vansbro";"ytskrapning/slåtter";2;40;3,09569593683445;47,5
"39";"0";"Vansbro";"ytskrapning/slåtter";3;50;3,09569593683445;47,5
"40";"0";"Vansbro";"ytskrapning/slåtter";4;50;3,09569593683445;47,5
"41";"0";"Vansbro";"ytskrapning/slåtter";5;40;3,09569593683445;47,5
"42";"0";"Vansbro";"ytskrapning/slåtter";6;60;3,09569593683445;47,5
"43";"1";"Brunflo";"rotryckning";1;1;0,477260702109212;1,16666666666667
"44";"1";"Brunflo";"rotryckning";2;3;0,477260702109212;1,16666666666667
"45";"1";"Brunflo";"rotryckning";3;0;0,477260702109212;1,16666666666667
"46";"1";"Brunflo";"rotryckning";4;0;0,477260702109212;1,16666666666667
"47";"1";"Brunflo";"rotryckning";5;2;0,477260702109212;1,16666666666667
"48";"1";"Brunflo";"rotryckning";6;1;0,477260702109212;1,16666666666667
"49";"1";"Brunflo";"ytskrapning";1;70;4,77260702109212;51,6666666666667
"50";"1";"Brunflo";"ytskrapning";2;50;4,77260702109212;51,6666666666667
"51";"1";"Brunflo";"ytskrapning";3;60;4,77260702109212;51,6666666666667
